topic,term,beta
2,vehicles,0.0018736155370392487
3,vehicles,0.006099621709718204
4,vehicles,0.002178578550603648
5,vehicles,0.0028600997145276485
1,bus,0.0029022638574496312
2,bus,0.002161045483235766
3,bus,0.0021361181523179935
4,bus,7.247443411747027e-12
5,bus,0.003543600194239509
1,wilamette,3.3525169799962447e-4
2,wilamette,3.0661365538709562e-15
3,wilamette,1.6315838937654037e-120
4,wilamette,8.880633631248544e-36
5,wilamette,2.0980287013994943e-39
1,siteâ,2.514387735015543e-4
2,siteâ,8.18183792995473e-93
3,siteâ,1.4757479558734204e-43
4,siteâ,1.3050645988953637e-153
5,siteâ,5.942509788647605e-164
1,pedestrian,0.0010817972742600377
2,pedestrian,3.344610160183641e-7
3,pedestrian,7.337760994632994e-12
4,pedestrian,1.2370243741451716e-10
5,pedestrian,0.014326104713552388
1,road,0.008168240165651913
2,road,0.0034566038781720476
3,road,0.011867580764166767
4,road,0.0027073847962213234
5,road,9.114145329354744e-4
1,dr,3.974696977657909e-4
2,dr,4.949956060865669e-12
3,dr,0.0010997056502451137
4,dr,0.0013723833047049176
5,dr,4.334464041077318e-5
1,cross,0.0048034404832474065
2,cross,6.546800423927566e-4
3,cross,2.855260740529053e-15
4,cross,4.975056051560078e-12
5,cross,0.016249455177701478
1,14th,1.5301479370366893e-12
2,14th,0.0018255585480510806
3,14th,2.551638749613848e-12
4,14th,3.3970436039312565e-8
5,14th,6.64506520471619e-4
1,oswego,1.8511694149503242e-4
2,oswego,8.153990590282135e-25
3,oswego,7.085779218858243e-33
4,oswego,6.357965607574264e-36
5,oswego,3.019041293059391e-4
1,driveway,8.702833713275703e-4
2,driveway,7.48040246527834e-12
3,driveway,0.004513923809893993
4,driveway,1.4505106280320793e-18
5,driveway,3.867145547173684e-12
1,building,4.246761526721461e-5
2,building,9.61841285478475e-13
3,building,0.0021879227052045143
4,building,5.950429343507198e-4
5,building,4.488213470770245e-4
1,killingsworth,7.448544745304571e-6
2,killingsworth,6.89895266849744e-4
3,killingsworth,6.444068938195617e-4
4,killingsworth,1.4663247525629832e-20
5,killingsworth,0.0017934657043082978
1,boones,0.0011174816385259917
2,boones,8.936471673061447e-33
3,boones,2.7169824326354345e-8
4,boones,2.2787812049369912e-45
5,boones,5.530048960372282e-36
1,ferry,2.66913742689321e-4
2,ferry,5.840959194811293e-35
3,ferry,0.0035848114709778603
4,ferry,3.5466140309280263e-31
5,ferry,3.584694639557068e-27
1,terwilliger,1.245735341436754e-6
2,terwilliger,2.0044462290535997e-22
3,terwilliger,0.002526531096745734
4,terwilliger,2.1760623853094115e-38
5,terwilliger,3.562139562935301e-15
1,prescott,2.328873793558505e-5
2,prescott,4.572063756411441e-15
3,prescott,1.968708157732661e-15
4,prescott,1.5126173879211578e-27
5,prescott,0.003264290431921163
1,168th,1.0038686563625535e-9
2,168th,3.6496845079363536e-29
3,168th,3.027794327425982e-39
4,168th,3.499492774398675e-38
5,168th,2.910210739730006e-4
1,broadway,2.3407042051727856e-12
2,broadway,1.4050794155624111e-14
3,broadway,4.349856414766666e-6
4,broadway,9.709914509106884e-16
5,broadway,0.004826961062753177
1,francis,6.370308292214183e-11
2,francis,3.760511514747362e-27
3,francis,1.199274253184594e-30
4,francis,0.0010909264632382593
5,francis,1.1128872447650498e-24
1,williams,1.6665535296935443e-28
2,williams,1.1565727935697443e-5
3,williams,3.0488965098449914e-4
4,williams,1.2380676119904856e-16
5,williams,0.0024160910332519363
1,limit,0.011594052778484904
2,limit,8.573109677681339e-8
3,limit,4.1625937377678785e-22
4,limit,4.186424437320774e-12
5,limit,4.958636029805177e-16
1,style,5.01447470724777e-44
2,style,8.138647631587044e-34
3,style,5.689268615739859e-36
4,style,4.137997254243868e-4
5,style,4.948336526387422e-14
1,neighborhood,0.009324238695376635
2,neighborhood,0.0039849053904395014
3,neighborhood,5.51233098042681e-4
4,neighborhood,0.00451139280926135
5,neighborhood,0.002532142343032665
1,81st,4.401286421656161e-6
2,81st,8.517852606964507e-31
3,81st,5.722420157752119e-37
4,81st,4.078380310276235e-4
5,81st,5.238671575258325e-4
1,walk,0.004553305659196106
2,walk,1.9416321954421776e-4
3,walk,3.715304354206977e-5
4,walk,3.4600600537694327e-18
5,walk,0.007720670532925186
1,54th,9.087021740843299e-4
2,54th,3.612400152118232e-19
3,54th,2.133775882487538e-24
4,54th,5.5443894626534655e-5
5,54th,1.5272558139967182e-9
1,parking,2.1672382560596796e-15
2,parking,1.7228688576366706e-12
3,parking,0.027427109198490663
4,parking,1.2387381862966427e-6
5,parking,3.4496492092980887e-10
1,cyclist,1.570053675271376e-17
2,cyclist,0.0015451122552295057
3,cyclist,8.676706793480304e-20
4,cyclist,5.18951789295603e-12
5,cyclist,0.0011014672071582277
1,33rd,7.1260725725577525e-9
2,33rd,1.5164765073730107e-6
3,33rd,1.2929178837688197e-19
4,33rd,4.966044733486274e-28
5,33rd,0.00395663230392623
1,ave,0.006999479966859197
2,ave,0.004484362197860739
3,ave,0.003973027781821815
4,ave,0.010140052567720858
5,ave,0.010536037221617075
1,stark,0.0030044211543653154
2,stark,9.014789225633991e-12
3,stark,2.2970413635089797e-4
4,stark,0.001699981511966758
5,stark,7.871136166536492e-14
1,50th,5.249222509332262e-4
2,50th,1.956618771581402e-28
3,50th,5.252807473255781e-11
4,50th,0.001636170062447743
5,50th,1.9547292383294846e-4
1,122nd,7.367349551147933e-4
2,122nd,1.6648692123325741e-25
3,122nd,1.214915394256723e-8
4,122nd,0.002619254720946103
5,122nd,4.4115709394114755e-8
1,concord,3.6318830468826417e-4
2,concord,5.140260887893682e-10
3,concord,7.062852509182675e-10
4,concord,5.751266401113552e-96
5,concord,1.3019680309523192e-14
1,16,2.1387366137866064e-4
2,16,3.413310143584968e-4
3,16,8.194088686339568e-4
4,16,3.998916796705139e-4
5,16,8.577027695152405e-7
1,st,0.0033269559730190993
2,st,0.004120868981193325
3,st,0.0033628516634811013
4,st,0.007342512417197735
5,st,0.004556049955475519
1,vermont,4.4268724633449977e-4
2,vermont,6.52177905630402e-33
3,vermont,0.0012372200609974552
4,vermont,2.4641354215135788e-33
5,vermont,2.882550229520285e-8
1,zone,0.005247701523676357
2,zone,1.4491039139790484e-14
3,zone,0.0021223245408821755
4,zone,4.5820049119861474e-14
5,zone,1.4538869878310073e-14
1,business,2.4544259006573226e-5
2,business,4.600806158427688e-4
3,business,0.001695180515450011
4,business,1.905369997543208e-11
5,business,8.826229074491802e-4
1,milwaukie,8.798537225330785e-20
2,milwaukie,2.653995550954551e-38
3,milwaukie,1.599784762207079e-40
4,milwaukie,0.0024075620392022858
5,milwaukie,2.0575189889891577e-15
1,bridge,2.610735540942006e-17
2,bridge,0.0025428897111090193
3,bridge,1.47719792405213e-4
4,bridge,0.00894040001817131
5,bridge,3.327001878396162e-14
1,lesser,2.4437900267633195e-28
2,lesser,2.8893881017899173e-35
3,lesser,4.226560353498878e-51
4,lesser,3.2561905451612255e-71
5,lesser,4.3653317953133805e-4
1,upshur,1.7959497960503652e-94
2,upshur,2.219897865837209e-75
3,upshur,1.991995086063223e-42
4,upshur,2.2566056251729574e-33
5,upshur,2.0371548378129105e-4
1,26th,4.4827518997146945e-12
2,26th,1.6787635515511688e-18
3,26th,5.108998600595626e-13
4,26th,0.0024268093161251775
5,26th,0.0013820160636380473
1,barricades,3.564847982561765e-92
2,barricades,7.710844393480856e-37
3,barricades,3.876025789059195e-31
4,barricades,1.189677632230154e-18
5,barricades,2.910221196875574e-4
1,willamette,8.843708702290605e-18
2,willamette,0.0037795115222810575
3,willamette,1.1713403877865863e-20
4,willamette,2.0864146214480105e-27
5,willamette,1.322255346408502e-29
1,parked,5.364167215936376e-4
2,parked,0.001617611609588652
3,parked,0.008225416384610813
4,parked,2.899227536577357e-8
5,parked,0.00163761422956646
1,accidents,5.346239222639688e-4
2,accidents,0.003543733428341023
3,accidents,0.0016152914840038622
4,accidents,8.272116398305628e-6
5,accidents,0.0024813457000588046
1,ramp,3.1354934874557177e-18
2,ramp,2.815992902841536e-4
3,ramp,0.0013561045994634608
4,ramp,0.0022734470178931167
5,ramp,0.0015890597586332065
1,macadam,1.237091958831647e-33
2,macadam,3.363695986106077e-47
3,macadam,0.0018643558257573484
4,macadam,1.1439525864324144e-14
5,macadam,1.7324992653233162e-24
1,37th,2.6163684665955456e-9
2,37th,5.954994003324266e-13
3,37th,4.6041083397845e-31
4,37th,5.848515168866182e-5
5,37th,0.0014680669302904003
1,bancroft,1.990926221172782e-20
2,bancroft,1.564982299364634e-40
3,bancroft,0.0011375730462306855
4,bancroft,6.598903810953522e-32
5,bancroft,4.429032804770987e-26
1,children,0.012907190368255819
2,children,4.6911754964282434e-12
3,children,2.201770121374461e-19
4,children,2.80370757972794e-13
5,children,9.069743580645461e-13
1,train,5.010598320865131e-28
2,train,4.932105253525511e-22
3,train,9.424540861154098e-33
4,train,9.977042145353006e-4
5,train,5.377541863723066e-4
1,82nd,3.834439032060446e-8
2,82nd,3.3585309982472702e-31
3,82nd,1.179809289851926e-21
4,82nd,0.0029472593765414415
5,82nd,0.0010957536585737306
1,access,2.871208379989072e-4
2,access,3.567490791413628e-4
3,access,0.002231941396050291
4,access,0.0014832463707006352
5,access,4.5012146340240683e-4
1,tacoma,3.9246334513806684e-16
2,tacoma,1.332982799337671e-31
3,tacoma,2.3379508907102675e-36
4,tacoma,0.004288469882333279
5,tacoma,1.3979533626335054e-27
1,signal,1.8682025871465177e-22
2,signal,5.03237280546018e-19
3,signal,3.833446582586735e-23
4,signal,0.0027123348528709725
5,signal,0.011405106010301083
1,merge,8.947253352771993e-41
2,merge,2.77603280149702e-16
3,merge,3.001573601280229e-10
4,merge,0.0023323253678070445
5,merge,2.6477241056000183e-13
1,cyclists,2.1592316879034735e-10
2,cyclists,0.0039441856835515585
3,cyclists,1.1869995746393285e-12
4,cyclists,5.980958707073234e-4
