topic,term,beta
1,sign,0.05603366118520014
1,stop,0.04739705787590421
1,intersection,0.019445786813261427
1,signs,0.014788027653995948
1,corner,0.011880230781615651
1,street,0.009700262840369931
1,car,0.009655099809130575
1,people,0.007997391004730557
1,request,0.00698082841423699
1,calling,0.006888312165152377
2,parking,0.031236926588139095
2,street,0.028401019687259554
2,school,0.015643579461131134
2,safety,0.013395661512215183
2,traffic,0.012211430353155398
2,road,0.011269473986256913
2,park,0.011187929501462893
2,construction,0.011118374772934217
2,sidewalk,0.008355596140160767
2,zone,0.008092333065164829
3,speed,0.0460642029293859
3,street,0.02965013460295787
3,traffic,0.022267923498027923
3,speeding,0.021753376408843204
3,people,0.017287658395053796
3,cars,0.013748960680862999
3,bumps,0.012761262896283558
3,mph,0.011253603144820035
3,ave,0.011209753711310463
3,limit,0.011172835656999464
4,intersection,0.029903458339115955
4,crosswalk,0.02407188021555623
4,cross,0.02185435118157682
4,cars,0.019987784125178747
4,traffic,0.018621469204253886
4,stop,0.018227676128081717
4,crossing,0.0178277782770495
4,pedestrians,0.016726076505213204
4,street,0.016617932217883016
4,pedestrian,0.015489301092930808
5,lane,0.04016216263327464
5,bike,0.034658677181942626
5,traffic,0.030541097385967254
5,left,0.02433482170151415
5,light,0.016718867858658264
5,intersection,0.016065214919230502
5,cars,0.0146096968031834
5,signal,0.011006451378079067
5,people,0.010367525794817081
5,bridge,0.00973160094140584
